阶段,起,止,说明,沪深300,中证500,策略,沪深300校验,中证500校验
2017 蓝筹慢牛,2017-01-03,2018-01-28,沪深300从3310涨至4300附近(+30%)，结构牛,0.323623598221191,0.019158219754359385,0.144356897244444,OK,OK
2018 熊市,2018-01-29,2019-01-03,沪深300从4300跌至2965(-31%)，去杠杆+贸易战,-0.32329673841097395,-0.35572550414106074,-0.00796187704270035,OK,OK
2019Q1 牛初反弹,2019-01-04,2019-04-30,沪深300从2965涨至3900(+32%)，政策底+春季躁动,0.31987223593853287,0.2904948198433668,0.06465894947695494,OK,OK
2019H2~2020Q1 震荡+疫情,2019-05-01,2020-03-19,沪深300区间震荡，2020-03-19疫情底3500,-0.08282714191162754,-0.02821258732826426,0.056651808539072146,OK,OK
2020~2021Q1 流动性牛,2020-03-20,2021-02-18,沪深300从3500涨至5931历史高点(+69%),0.6071984820664849,0.2824293984667938,0.1789224663694453,OK,OK
2021 牛末高位震荡,2021-02-19,2021-12-31,沪深300从5931回落至4900附近(-18%)，茅指数瓦解,-0.14354290112648616,0.11260949363069628,0.0540744475684134,OK,OK
2022 熊市,2022-01-01,2022-10-31,沪深300从4900跌至3500(-29%)，俄乌+加息+疫情,-0.2897900359689659,-0.2109261624588955,0.029963102250509577,OK,OK
2022Q4~2023Q1 反弹,2022-11-01,2023-05-09,沪深300从3500反弹至4000(+15%)，放开预期,0.1479693333713341,0.06455362478065729,0.061269050484567655,OK,OK
2023~2024Q1 熊末阴跌,2023-05-10,2024-02-05,沪深300从4000阴跌至3171(-21%)，经济预期弱,-0.2054331310763975,-0.2785062391013885,0.13110278008780374,OK,OK
2024 震荡磨底,2024-02-06,2024-09-18,沪深300在3171~3600区间磨底，量能萎缩,-0.009189418888770784,0.0005851676808081852,0.012296739908330023,OK,OK
2024-09 政策牛爆发(两周),2024-09-19,2024-10-08,沪深300两周+30%，924行情,0.34219065849681973,0.3792873195947899,0.004323610420825075,OK,OK
2024Q4 暴涨后高位回调,2024-10-09,2024-12-31,沪深300从4400回调至3900附近(-8%)，情绪退潮,-0.07546580202532849,-0.06983095012980178,0.04632790491188632,OK,OK
2025Q1 震荡蓄势,2025-01-01,2025-03-31,沪深300区间3900~4000震荡，AI+结构性行情,-0.012096845925319788,0.023060814952853947,0.04207538930947363,OK,OK
2025Q2 关税冲击后V型反转,2025-04-01,2025-06-30,2025-04-07暴跌后修复，沪深300再创新高,0.012545950798881433,0.00983650774953504,0.023496090803719838,OK,OK
2025H2~2026 牛市延续,2025-07-01,2026-07-18,沪深300震荡上行至4500+，科技+顺周期轮动,0.1506625881587773,0.2702053457168496,0.18120600244970886,OK,OK
